FIA_Code,CommonName,ScientificName,USDASP
6842,kattar,Cyathea nigricans,CYNI7
6844,kattar,Cyathea ponapeana,CYPO11
6847,treefern,Cyathea spp.,CYATH
6849,olioli,Cyathea truncata,CYTR11
6852,queen sago,Cycas circinalis,CYCI3
6853,remiang,Cycas revoluta,CYRE11
6854,Cycas,Cycas spp.,CYCAS
6855,ola,Cyclophyllum barbatum,CYBA7
6858,gulos,Cynometra ramiflora,CYRA8
6859,eeme,Cynometra yokotae,CYYO
6860,tree-tomato,Cyphomandra betacea,CYBE3
6863,cyrtandra,Cyrtandra pulchella,CYPU13
6864,Cyrtandra,Cyrtandra ramosissima,CYRA3
6865,forest cyrtandra,Cyrtandra giffardii,CYGI3
6866,cyrtandra,Cyrtandra spp.,CYRTA
6868,Dalbergia retusa,Dalbergia retusa,DARE6
6870,cocobolo,Dalbergia tucurensis,DATU
6875,Hawaii delissea,Delissea fallax,DEFA
6876,cutleaf delissea,Delissea laciniata,DELA4
6877,Niihau delissea,Delissea niihauensis,DENI
6880,smallflower delissea,Delissea parviflora,DEPA9
6881,delissea,Delissea spp.,DELIS
6882,leechleaf delissea,Delissea undulata,DEUN2
6883,royal poinciana,Delonix regia,DERE
6884,delonix,Delonix spp.,DELON
6885,salato,Dendrocnide harveyi,DEHA5
6886,kahtat,Dendrocnide latifolia,DELA13
6887,Dendrocnide,Dendrocnide spp.,DENDR16
6891,redpalm,Dictyosperma album,DIAL13
6898,shrubby dillenia,Dillenia suffruticosa,DISU11
6900,mabolo,Diospyros blancoi,DIBL3
6902,Mabolo,Diospyros discolor,DIDI9
6903,Black sapote,Diospyros ebenaster,DIEB
6904,anume,Diospyros elliptica,DIEL3
6905,Diospyros ferrea,Diospyros ferrea,DIFE5
6906,elama,Diospyros hillebrandii,DIHI4
6907,persimmon,Diospyros kaki,DIKA2
6910,auauli,Diospyros samoensis,DISA16
6911,lama,Diospyros sandwicensis,DISA10
6921,otot,Discocalyx ponapensis,DIPO
6927,Florida hopbush,Dodonaea viscosa,DOVI
6928,rru,Dolichandrone spathacea,DOSP3
6930,Ceylon gooseberry,Dovyalis hebecarpa,DOHE2
6933,Dracaena multiflora,Dracaena multiflora,DRMU2
6934,song of India,Dracaena reflexa,DRRE6
6935,Drypetes carolinensis,Drypetes carolinensis,DRCA18
6936,Drypetes dolichocarpa,Drypetes dolichocarpa,DRDO3
6941,kevert,Drypetes nitida,DRNI3
6942,Drypetes,Drypetes spp.,DRYPE
6943,none,Drypetes vitiensis,DRVI5
6944,Dubautia,Dubautia demissifolia,DUDE
6945,Dubautia,Dubautia fallax,DUFA2
6946,Dubautia,Dubautia montana,DUMO2
6947,Mauna Kea dubautia,Dubautia arborea,DUAR
6948,forest dubautia,Dubautia knudsenii,DUKN
6949,Drypetes yapensis,Drypetes yapensis,DRYA
6952,Kauai dubautia,Dubautia microcephala,DUMI
6953,plantainleaf dubautia,Dubautia plantaginea,DUPL
6957,netvein dubautia,Dubautia reticulata,DURE2
6958,dubautia,Dubautia spp.,DUBAU
6961,golden dewdrops,Duranta erecta,DUER
6965,Durian,Durio zibethinus,DUZI
6966,Dypsis lutescens,Dypsis lutescens,DYLU
6968,maota mea,Dysoxylum huntii,DYHU2
6969,maota,Dysoxylum maota,DYMA
6970,mamala,Dysoxylum samoense,DYSA
6971,Dysoxylum,Dysoxylum spp.,DYSOX
6972,Dysoxylum mollissimum ssp. Molle,Dysoxylum mollissimum,DYMOM
6973,oil nut palm,Elaeis guineensis,ELGU
6974,Kosrae elaeocarpus,Elaeocarpus Kaneh,ELKU2
6975,kalia,Elaeocarpus bifidus,ELBI
